ticker,filing_id,remarks_sentiment,remarks_confidence,remarks_prob_positive,remarks_prob_negative,remarks_prob_neutral,remarks_n_chunks,qa_sentiment,qa_confidence,qa_prob_positive,qa_prob_negative,qa_prob_neutral,qa_n_chunks
AAPL,0000320193-25-000077,-0.043530554791528085,0.8918003089844234,0.03907840134250739,0.08260895613403547,0.8783126458052605,63,,,,,,0
AAPL,0000320193-25-000071,-0.037594103834546005,0.9015858974613127,0.03712602784154845,0.07472013167609445,0.8881538426045512,61,,,,,,0
AAPL,0000320193-25-000055,-0.049159570366271534,0.8870464043739514,0.03563339572049614,0.08479296608676767,0.8795736394504197,117,,,,,,0
AAPL,0000320193-26-000005,-0.032790893307108375,0.9036335446795479,0.039167844369763234,0.07195873767687161,0.8888734207167978,61,,,,,,0
MSFT,0000950170-25-010484,-0.03597646385490422,0.8883238775389535,0.05708550706150986,0.09306197091641408,0.8498525157689102,63,,,,,,0
MSFT,0001193125-25-256310,-0.0026156511157751083,0.8694998502083446,0.08691080963320058,0.08952646074897569,0.8235627238274269,92,,,,,,0
MSFT,0001193125-26-027198,-0.01773049554321915,0.8723186505958438,0.07251434888166841,0.09024484442488756,0.8372408103896305,64,,,,,,0
MSFT,0000950170-25-100226,-0.021958235035380053,0.8853039376197323,0.06454543413354023,0.08650366916892029,0.8489508975537554,62,,,,,,0
MSFT,0000950170-25-061032,-0.02370736403538594,0.8821580050483583,0.06553489518248373,0.08924225921786967,0.845222842066534,63,,,,,,0
GOOGL,0001652044-26-000012,-0.03960984397639075,0.8870110868111901,0.04650499514790009,0.08611483912429084,0.8673801697466684,92,,,,,,0
GOOGL,0001652044-25-000087,-0.03842904756466548,0.8815892958641052,0.05151374455541372,0.0899427921200792,0.8585434648642938,75,,,,,,0
GOOGL,0001652044-25-000056,-0.031499252604941526,0.8901063776016236,0.051457025669515134,0.08295627827445666,0.8655866925418377,75,,,,,,0
META,0001628280-26-003832,-0.048095144379627086,0.8728073753159622,0.0524436819270767,0.10053882630670379,0.8470174906261522,58,,,,,,0
META,0001326801-25-000050,-0.022372304477953707,0.8874880990077709,0.061432318360512626,0.08380462283846633,0.8547630543852675,58,,,,,,0
META,0001628280-25-036719,-0.004093251617278082,0.8759049742908801,0.07425696765846115,0.07835021927573924,0.8473928107296006,59,,,,,,0
META,0001628280-25-047114,0.016277697379306205,0.8784356602167679,0.10220858857225058,0.08593089119294438,0.8118605280326585,59,,,,,,0
AMZN,0001018724-26-000002,0.06840562607759415,0.8655603350098453,0.13958821259438992,0.07118258651679576,0.7892292014587281,67,,,,,,0
AMZN,0001018724-25-000121,0.070500547051779,0.8716456200927496,0.1460419904324226,0.07554144338064361,0.7784165621560533,64,,,,,,0
AMZN,0001018724-25-000084,0.04222806050412116,0.8754907529200276,0.11369977670631581,0.07147171620219465,0.8148285092245187,62,,,,,,0
AMZN,0001018724-25-000034,0.021476598984714768,0.8789361003619521,0.09442843609392199,0.07295183710920722,0.8326197301607523,67,,,,,,0
